age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,hours-per-week,native-country,income
63,Private,180911,11th,7,Married-civ-spouse,Protective-serv,Husband,White,Male,37,United-States,1.0
50,Local-gov,283314,Assoc-acdm,12,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,1.0
50,Private,105010,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,45,United-States,1.0
36,Private,234901,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,0.0
49,Private,329603,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,1.0
34,Private,223212,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,Peru,1.0
43,Private,282069,Some-college,10,Divorced,Craft-repair,Unmarried,White,Male,42,United-States,0.0
55,Private,217241,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Female,40,United-States,0.0
41,Private,290660,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,55,United-States,1.0
38,Federal-gov,91716,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,0.0
43,Private,187322,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,1.0
28,Private,106672,Bachelors,13,Never-married,Sales,Own-child,White,Male,2,United-States,0.0
47,Private,188081,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,1.0
34,Private,356882,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,45,United-States,1.0
19,Private,129620,10th,6,Never-married,Other-service,Other-relative,White,Female,30,United-States,0.0
69,?,28197,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,60,United-States,1.0
22,Private,130356,Some-college,10,Never-married,Machine-op-inspct,Own-child,White,Male,48,United-States,0.0
34,Private,734193,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Female,50,United-States,0.0
45,Private,88781,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,40,Germany,1.0
22,Private,193586,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,25,United-States,0.0
39,Local-gov,183620,Some-college,10,Never-married,Protective-serv,Not-in-family,Black,Female,40,United-States,1.0
45,Local-gov,556652,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,40,United-States,1.0
51,Self-emp-inc,98980,HS-grad,9,Married-spouse-absent,Exec-managerial,Not-in-family,White,Male,99,United-States,1.0
28,Private,147560,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,55,United-States,1.0
52,Private,180195,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,1.0
58,Private,320102,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,1.0
63,Private,275034,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,35,United-States,0.0
60,Self-emp-inc,137733,10th,6,Married-civ-spouse,Exec-managerial,Husband,White,Male,44,United-States,1.0
46,Private,370119,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,1.0
33,Self-emp-not-inc,303867,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,70,United-States,1.0
57,Private,206206,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,1.0
44,Federal-gov,251305,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,1.0
36,?,103886,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,15,United-States,0.0
39,Private,197150,HS-grad,9,Divorced,Craft-repair,Unmarried,White,Male,50,El-Salvador,0.0
39,Local-gov,267893,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,Black,Male,40,United-States,1.0
36,Private,284616,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,0.0
26,Private,132572,Bachelors,13,Never-married,Adm-clerical,Own-child,Black,Female,40,United-States,0.0
42,Private,36271,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,1.0
38,Private,187870,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,1.0
29,Private,211482,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,50,United-States,1.0
35,Private,108140,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,1.0
34,Private,126853,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,40,Taiwan,1.0
25,Local-gov,249214,Some-college,10,Never-married,Adm-clerical,Unmarried,Black,Female,40,United-States,0.0
33,Private,185336,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Wife,Black,Female,40,United-States,0.0
25,State-gov,262664,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,1.0
27,Private,26326,Assoc-voc,11,Divorced,Other-service,Unmarried,Amer-Indian-Eskimo,Female,40,United-States,0.0
33,Private,75435,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,Amer-Indian-Eskimo,Male,40,United-States,0.0
23,Private,259109,Assoc-acdm,12,Married-civ-spouse,Other-service,Wife,White,Female,40,Puerto-Rico,0.0
53,Self-emp-not-inc,174102,Prof-school,15,Divorced,Prof-specialty,Unmarried,White,Male,60,United-States,1.0
28,Private,334368,Some-college,10,Separated,Adm-clerical,Not-in-family,White,Female,40,United-States,0.0
21,Private,154964,HS-grad,9,Divorced,Machine-op-inspct,Other-relative,Black,Female,40,United-States,0.0
17,Private,201412,10th,6,Never-married,Farming-fishing,Own-child,White,Male,5,United-States,0.0
31,Private,128065,11th,7,Married-civ-spouse,Farming-fishing,Husband,White,Male,55,United-States,1.0
34,Private,236861,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,45,United-States,0.0
65,Private,85787,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,0.0
34,Private,148207,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,65,United-States,1.0
51,Federal-gov,97934,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,United-States,1.0
57,State-gov,183657,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,Black,Male,35,United-States,1.0
37,Self-emp-inc,97986,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,68,United-States,0.0
48,Federal-gov,34998,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,48,United-States,1.0
34,Private,146161,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,1.0
44,Private,187702,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,1.0
31,Private,79190,HS-grad,9,Never-married,Other-service,Own-child,White,Female,35,United-States,0.0
41,Private,171550,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,1.0
67,?,350525,Some-college,10,Married-civ-spouse,?,Husband,White,Male,15,United-States,1.0
50,Federal-gov,36489,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,1.0
26,Private,137658,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,45,United-States,0.0
36,Private,29984,12th,8,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,0.0
29,Private,81648,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,55,United-States,1.0
29,Private,222249,HS-grad,9,Never-married,Adm-clerical,Other-relative,White,Female,40,United-States,0.0
33,Private,355996,10th,6,Never-married,Handlers-cleaners,Not-in-family,White,Male,40,United-States,0.0
47,Local-gov,174533,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,1.0
52,Private,178983,11th,7,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States,0.0
54,Private,28683,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,0.0
38,Private,32916,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,55,United-States,1.0
53,Private,151411,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,United-States,1.0
21,Private,174714,Assoc-acdm,12,Never-married,Adm-clerical,Own-child,White,Male,35,United-States,0.0
54,Private,200098,Bachelors,13,Divorced,Sales,Not-in-family,Black,Female,60,United-States,0.0
20,Private,275385,HS-grad,9,Never-married,Handlers-cleaners,Other-relative,White,Male,45,United-States,0.0
53,State-gov,156877,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,35,United-States,1.0
31,Private,227446,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,Cuba,1.0
30,Self-emp-not-inc,303692,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,75,United-States,0.0
37,Local-gov,343052,HS-grad,9,Separated,Adm-clerical,Unmarried,White,Female,40,United-States,0.0
64,Self-emp-inc,161325,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,1.0
67,Local-gov,176931,7th-8th,4,Widowed,Other-service,Not-in-family,White,Female,20,United-States,0.0
46,Federal-gov,44706,Bachelors,13,Divorced,Prof-specialty,Unmarried,White,Female,50,United-States,1.0
37,Private,116960,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,1.0
36,Private,272944,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,1.0
25,Private,393456,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,Black,Female,40,United-States,0.0
47,Private,47343,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,1.0
30,Private,129227,HS-grad,9,Widowed,Adm-clerical,Not-in-family,White,Female,40,United-States,0.0
43,Local-gov,323627,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Female,12,United-States,0.0
56,State-gov,68658,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,1.0
44,Self-emp-not-inc,158555,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,1.0
44,Local-gov,433705,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,52,United-States,1.0
36,Private,194630,Some-college,10,Divorced,Sales,Unmarried,White,Female,40,United-States,0.0
41,Private,287306,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,1.0
37,Private,107302,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,1.0
35,Private,272742,HS-grad,9,Divorced,Sales,Not-in-family,White,Male,60,United-States,1.0
62,Private,88055,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,0.0
54,Private,32454,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,60,United-States,1.0
45,Private,145637,Assoc-voc,11,Never-married,Sales,Not-in-family,White,Female,48,United-States,1.0
47,Private,264052,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,1.0
24,Private,30656,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,20,United-States,0.0
27,Private,183523,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,1.0
59,Private,32446,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States,0.0
51,Private,392286,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,1.0
27,Private,292120,HS-grad,9,Divorced,Tech-support,Not-in-family,White,Female,45,United-States,0.0
46,Private,158825,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Female,40,United-States,1.0
34,Private,177733,9th,5,Separated,Machine-op-inspct,Unmarried,White,Female,35,Dominican-Republic,0.0
29,Private,216479,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Female,40,United-States,0.0
29,Private,116372,Bachelors,13,Never-married,Sales,Not-in-family,White,Female,50,United-States,1.0
24,Private,224059,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,0.0
21,Private,287681,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Male,40,Mexico,0.0
30,Local-gov,211654,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,1.0
45,Private,186473,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,40,United-States,0.0
50,Federal-gov,289572,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,1.0
44,Local-gov,202872,Some-college,10,Divorced,Prof-specialty,Unmarried,White,Female,25,United-States,0.0
39,Self-emp-not-inc,107302,Bachelors,13,Married-civ-spouse,Craft-repair,Other-relative,White,Male,35,United-States,1.0
32,Private,258406,Some-college,10,Never-married,Craft-repair,Unmarried,White,Male,72,Mexico,0.0
43,Private,83827,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,White,Female,24,United-States,0.0
63,Private,298113,Some-college,10,Divorced,Other-service,Not-in-family,White,Male,40,United-States,0.0
39,Self-emp-inc,286261,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,0.0
21,Private,209483,Some-college,10,Never-married,Sales,Own-child,White,Female,20,United-States,0.0
40,Private,421837,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,0.0
68,Private,124686,7th-8th,4,Widowed,Machine-op-inspct,Not-in-family,White,Female,10,United-States,0.0
22,Private,185279,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,16,United-States,0.0
34,Private,189809,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,52,Jamaica,0.0
45,Private,236040,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,1.0
42,Private,208875,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,40,El-Salvador,1.0
35,Private,61343,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,45,United-States,0.0
40,Private,200479,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,0.0
50,Self-emp-not-inc,44368,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,55,El-Salvador,1.0
36,Private,99146,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,45,United-States,1.0
43,Private,208045,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,40,United-States,1.0
51,Private,249449,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,55,United-States,1.0
59,Self-emp-not-inc,201263,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,55,United-States,1.0
39,Private,82699,Prof-school,15,Divorced,Prof-specialty,Not-in-family,Black,Female,70,United-States,1.0
46,Local-gov,316205,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Black,Male,40,United-States,1.0
45,Private,117849,11th,7,Married-civ-spouse,Transport-moving,Other-relative,White,Male,40,United-States,0.0
31,Local-gov,153005,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,1.0
50,Private,100109,Bachelors,13,Divorced,Exec-managerial,Unmarried,White,Male,45,United-States,1.0
32,Private,316769,11th,7,Never-married,Other-service,Unmarried,Black,Female,40,Jamaica,0.0
56,Private,179641,HS-grad,9,Never-married,Prof-specialty,Not-in-family,White,Female,45,United-States,0.0
33,Private,301251,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,60,United-States,1.0
43,Private,26252,Some-college,10,Separated,Other-service,Unmarried,Amer-Indian-Eskimo,Female,36,United-States,0.0
36,Private,184112,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,45,United-States,1.0
64,Private,188659,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,20,United-States,1.0
45,Private,260490,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,1.0
30,Private,213722,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,50,United-States,1.0
29,Private,115438,HS-grad,9,Separated,Craft-repair,Unmarried,White,Male,35,United-States,0.0
19,Private,273226,11th,7,Never-married,Tech-support,Own-child,White,Male,40,United-States,0.0
58,Self-emp-inc,229116,Prof-school,15,Divorced,Prof-specialty,Not-in-family,White,Male,70,United-States,1.0
38,Local-gov,218184,5th-6th,3,Married-civ-spouse,Handlers-cleaners,Other-relative,White,Male,40,Mexico,0.0
44,Private,279183,Some-college,10,Married-civ-spouse,Other-service,Own-child,White,Female,40,United-States,1.0
47,Private,158924,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,40,United-States,1.0
90,Private,51744,Masters,14,Never-married,Exec-managerial,Not-in-family,Black,Male,50,United-States,1.0
41,Private,162189,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Female,40,Peru,0.0
42,Private,219155,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,1.0
25,Private,222539,10th,6,Never-married,Transport-moving,Not-in-family,White,Male,50,United-States,0.0
62,Private,119684,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,28,United-States,0.0
33,Private,101352,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Female,50,United-States,1.0
34,Private,48935,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,United-States,0.0
44,Self-emp-not-inc,242434,Bachelors,13,Divorced,Sales,Not-in-family,White,Female,60,United-States,1.0
51,Private,204304,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Female,50,United-States,1.0
48,Self-emp-not-inc,191277,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,1.0
